Inference - 2020-08-03 21:27:23
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_GOPRO.pt
data_path: ../dataset/GOPRO/test
result_path: ../infer_results/GOPRO
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_GOPRO.pt
> GOPR0384_11_05-004073 PSNR=32.942, SSIM=0.9454 pre_time:0.229s, forward_time:2.14s, post_time:1.2s, total_time:3.56s
> GOPR0384_11_05-004074 PSNR=32.924, SSIM=0.9485 pre_time:0.228s, forward_time:2.05s, post_time:1.19s, total_time:3.46s
> GOPR0384_11_05-004075 PSNR=32.438, SSIM=0.9413 pre_time:0.227s, forward_time:2.13s, post_time:1.18s, total_time:3.54s
> GOPR0384_11_05-004076 PSNR=32.071, SSIM=0.9449 pre_time:0.231s, forward_time:2.05s, post_time:1.18s, total_time:3.46s
> GOPR0384_11_05-004077 PSNR=30.677, SSIM=0.9404 pre_time:0.23s, forward_time:2.14s, post_time:1.19s, total_time:3.56s
> GOPR0384_11_05-004078 PSNR=33.329, SSIM=0.9514 pre_time:0.232s, forward_time:2.14s, post_time:1.18s, total_time:3.55s
> GOPR0384_11_05-004079 PSNR=32.77, SSIM=0.9457 pre_time:0.231s, forward_time:2.11s, post_time:1.19s, total_time:3.53s
> GOPR0384_11_05-004080 PSNR=31.701, SSIM=0.9427 pre_time:0.23s, forward_time:2.09s, post_time:1.2s, total_time:3.52s
> GOPR0384_11_05-004081 PSNR=20.108, SSIM=0.6512 pre_time:0.229s, forward_time:2.04s, post_time:1.18s, total_time:3.45s
> GOPR0384_11_05-004082 PSNR=29.237, SSIM=0.918 pre_time:0.229s, forward_time:2.12s, post_time:1.17s, total_time:3.52s
> GOPR0384_11_05-004083 PSNR=31.396, SSIM=0.9399 pre_time:0.227s, forward_time:2.15s, post_time:1.19s, total_time:3.56s
> GOPR0384_11_05-004084 PSNR=32.109, SSIM=0.9418 pre_time:0.227s, forward_time:2.14s, post_time:1.17s, total_time:3.54s
> GOPR0384_11_05-004085 PSNR=30.764, SSIM=0.9331 pre_time:0.228s, forward_time:2.03s, post_time:1.17s, total_time:3.43s
> GOPR0384_11_05-004086 PSNR=28.349, SSIM=0.9008 pre_time:0.228s, forward_time:2.13s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_05-004087 PSNR=30.618, SSIM=0.9291 pre_time:0.228s, forward_time:2.04s, post_time:1.17s, total_time:3.44s
> GOPR0384_11_05-004088 PSNR=30.878, SSIM=0.9273 pre_time:0.226s, forward_time:2.13s, post_time:1.17s, total_time:3.52s
